Commodity,Country,Time,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2  (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons)
1003002000 Barley For Malting Purposes (kg),Canada,1992,"28,155,978",,"268,045,301",,,,0.11,
1003002000 Barley For Malting Purposes (kg),Canada,1993,"24,985,736",,"238,208,997",,,,0.1,
1003002000 Barley For Malting Purposes (kg),Canada,1994,"76,540,804",,"709,839,492",,,,0.11,
1003002000 Barley For Malting Purposes (kg),Canada,1995,"90,052,409",,"697,683,256",,,,0.13,
1003002000 Barley For Malting Purposes (kg),Canada,1996,"107,281,622",,"641,728,374",,,,0.17,
1003002000 Barley For Malting Purposes (kg),Canada,1997,"103,858,979",,"706,315,338",,,,0.15,
1003002000 Barley For Malting Purposes (kg),Canada,1998,"77,677,292",,"591,880,556",,,,0.13,
1003002000 Barley For Malting Purposes (kg),Canada,1999,"74,095,229",,"596,721,740",,,,0.12,
1003002000 Barley For Malting Purposes (kg),Canada,2000,"68,889,607",,"510,231,506",,,,0.14,
1003002000 Barley For Malting Purposes (kg),Canada,2001,"80,462,538",,"613,629,346",,,,0.13,
1003002000 Barley For Malting Purposes (kg),Canada,2002,"59,903,344","59,903,344","433,352,223","433,352,223",,,0.14,0.14
1003002000 Barley For Malting Purposes (kg),Canada,2003,"27,843,197","27,843,197","179,022,588","179,022,588",,,0.16,0.16
1003002000 Barley For Malting Purposes (kg),Canada,2004,"49,334,830","49,334,830","337,392,396","337,392,396",,,0.15,0.15
1003002000 Barley For Malting Purposes (kg),Canada,2005,"9,394,003","9,394,003","72,455,041","72,455,041",,,0.13,0.13
1003002000 Barley For Malting Purposes (kg),Canada,2006,"23,651,834","23,651,834","169,115,731","169,115,731",,,0.14,0.14
1003002000 Barley For Malting Purposes (kg),Canada,2007,"85,590,054","85,590,054","393,125,415","393,125,415",,,0.22,0.22
1003002000 Barley For Malting Purposes (kg),Canada,2008,"189,784,348","189,784,348","630,436,864","630,436,864",,,0.3,0.3
1003002000 Barley For Malting Purposes (kg),Canada,2009,"126,014,779","126,014,779","432,106,884","432,106,884",,,0.29,0.29
1003002000 Barley For Malting Purposes (kg),Canada,2010,"50,929,445","50,929,445","228,785,796","228,785,796",,,0.22,0.22
1003002000 Barley For Malting Purposes (kg),Canada,2011,"30,637,491","30,637,491","116,404,887","116,404,887",,,0.26,0.26
"1003004000 Barley, Nesoi (kg)",Canada,1992,"14,877,010",,"172,632,618",,,,0.09,
"1003004000 Barley, Nesoi (kg)",Canada,1993,"25,997,671",,"337,110,147",,,,0.08,
1003004010 Barley Seed (kg),Canada,1994,"1,180,685",,"11,616,301",,,,0.1,
1003004010 Barley Seed (kg),Canada,1995,"464,105",,"2,870,753",,,,0.16,
1003004010 Barley Seed (kg),Canada,1996,"1,755,251",,"8,647,375",,,,0.2,
1003004010 Barley Seed (kg),Canada,1997,"1,522,223",,"8,262,632",,,,0.18,
1003004010 Barley Seed (kg),Canada,1998,"1,730,387",,"10,499,936",,,,0.16,
1003004010 Barley Seed (kg),Canada,1999,"1,557,872",,"10,845,373",,,,0.14,
1003004010 Barley Seed (kg),Canada,2000,"2,153,721",,"14,705,887",,,,0.15,
1003004010 Barley Seed (kg),Canada,2001,"2,312,288",,"16,450,620",,,,0.14,
1003004010 Barley Seed (kg),Canada,2002,"3,626,467","3,626,467","20,860,474","20,860,474",,,0.17,0.17
1003004010 Barley Seed (kg),Canada,2003,"3,571,209","3,571,209","16,686,603","16,686,603",,,0.21,0.21
1003004010 Barley Seed (kg),Canada,2004,"3,824,528","3,824,528","20,453,292","20,453,292",,,0.19,0.19
1003004010 Barley Seed (kg),Canada,2005,"1,447,235","1,447,235","7,010,104","7,010,104",,,0.21,0.21
1003004010 Barley Seed (kg),Canada,2006,"1,094,366","1,094,366","5,781,384","5,781,384",,,0.19,0.19
